date,name,price
2023-10-16,SP95,1.962
2023-10-13,SP98,1.879
2023-10-16,E10,1.769
2023-10-14,SP95,1.879
2023-10-20,E10,1.81
2023-10-18,SP95,1.805
2023-10-19,SP98,1.909
2023-10-20,E10,1.859
2023-10-16,SP98,1.831
2023-10-20,E10,1.99
2023-10-20,SP95,1.99
2023-10-18,SP95,1.942
2023-10-19,Gazole,1.889
2023-10-19,Gazole,1.819
2023-10-20,Gazole,1.839
2023-10-20,E10,1.849
2023-10-16,E10,1.909
2023-10-20,E10,1.841
2023-10-07,SP95,1.879
2023-10-19,Gazole,1.899
2023-10-20,Gazole,1.808
2023-10-20,SP98,1.99
2023-10-20,SP98,1.99
2023-10-11,SP95,1.899
2023-10-18,SP98,1.878
2023-09-23,GPLc,1.029
2023-10-20,Gazole,1.8
2023-10-16,E10,1.762
2023-09-21,E10,2.147
2023-10-17,SP98,1.99
2023-10-17,E10,1.869
2023-10-18,Gazole,1.869
2023-10-13,SP98,1.899
2023-10-18,Gazole,1.96
2023-10-20,E10,1.917
2023-07-25,SP95,1.884
2023-10-10,E10,1.855
2023-10-20,E10,1.769
2023-10-19,SP98,1.969
2023-10-15,E85,0.994
2023-10-20,SP98,1.99
2023-10-19,SP98,1.927
2023-10-20,Gazole,1.899
2023-10-20,E10,1.842
2023-10-20,E10,1.857
2023-09-19,SP95,1.975
2023-10-16,Gazole,1.839
2023-10-16,SP98,1.839
2023-10-20,E85,1.049
2023-10-20,SP95,1.842
2023-08-13,Gazole,1.95
2023-10-16,E10,1.829
2023-10-10,E10,1.866
2023-10-10,SP98,1.963
2023-10-20,Gazole,1.989
2023-10-20,SP98,1.839
2023-10-20,E10,1.829
2023-10-20,SP98,1.869
2023-10-19,E10,1.889
2023-10-20,Gazole,1.937
2023-10-18,SP95,1.877
2023-08-03,GPLc,1.139
2023-10-19,SP95,1.818
2023-08-05,SP95,1.96
2023-10-20,E85,0.958
2023-10-19,Gazole,1.959
2023-10-11,E10,1.799
2023-10-16,E10,1.819
2023-10-14,E10,1.819
2023-09-29,SP95,2.049
2023-10-17,Gazole,1.938
2023-10-16,SP98,1.939
2023-10-20,E10,1.836
2023-10-20,E10,1.832
2023-10-20,Gazole,1.96
2023-10-19,Gazole,1.849
2023-10-20,Gazole,1.809
2023-10-20,E10,1.779
2023-10-20,Gazole,1.802
2023-10-20,SP98,1.882
2023-10-18,Gazole,1.899
2023-10-17,E10,1.809
2023-10-14,SP98,1.899
2023-10-18,Gazole,1.876
2023-10-20,Gazole,1.978
2023-10-13,Gazole,1.809
2023-10-19,SP98,1.806
2023-10-20,SP98,1.99
